avg_monthly_hrs,department,last_evaluation,n_projects,salary,satisfaction,status,tenure,Agency,EmployeeName,age,rating,salary,fname,lname
221,engineering,0.93286764,4,low,0.829896196,Left,5,"South Gate, New York",NATHANIEL FORD,43,1.4,567595,NATHANIEL,FORD
232,support,,3,low,0.834543795,Employed,2,"Miami Gardens, Iowa",Rohan Rane,47,2.2,538909,Rohan,Rane
184,sales,0.788829842,3,medium,0.834987611,Employed,3,"Danville, Florida",ALBERT PARDINI,38,4.7,335279,ALBERT,PARDINI
206,sales,0.575687931,4,low,0.424764288,Employed,2,"Hallandale Beach, Texas",CHRISTOPHER CHONG,39,4.8,332343,CHRISTOPHER,CHONG
249,sales,0.845217472,3,low,0.779043096,Employed,3,"North Richland Hills, Massachusetts",PATRICK GARDNER,33,4.3,326373,PATRICK,GARDNER
140,sales,0.589097371,4,medium,0.660019905,Employed,4,"Cuyahoga Falls, Texas",DAVID SULLIVAN,37,4.2,316285,DAVID,SULLIVAN
121,sales,0.62539883,3,low,0.835570551,Employed,3,"Mobile, New Mexico",ALSON LEE,38,4.3,315981,ALSON,LEE
150,engineering,0.644585844,4,low,0.796683395,Employed,3,"Riverside, New Mexico",DAVID KUSHNER,37,4.7,307899,DAVID,KUSHNER
215,engineering,0.524113534,3,medium,0.715005032,Employed,7,"Waukesha, New Mexico",MICHAEL MORRIS,30,4.4,303427,MICHAEL,MORRIS
269,support,0.90936433,5,medium,0.994037398,Employed,2,"Mesquite, Texas",JOANNE HAYES-WHITE,41,3.8,302377,JOANNE,HAYES-WHITE
147,sales,,2,medium,0.403551808,Left,3,"Loveland, California",ARTHUR KENNEY,35,4.5,299494,ARTHUR,KENNEY
188,sales,0.925479635,6,low,0.481408602,Employed,5,"Oakley, Minnesota",PATRICIA JACKSON,34,4.4,297608,PATRICIA,JACKSON
191,support,0.94672381,5,low,0.925337129,Employed,4,"Cicero, Florida",EDWARD HARRINGTON,32,4.9,294580,EDWARD,HARRINGTON
290,engineering,0.770247875,6,medium,0.090342793,Left,4,"Gainesville, California",JOHN MARTIN,48,2.1,292671,JOHN,MARTIN
253,sales,0.579966137,5,medium,0.627725955,Employed,6,"Dearborn, Nebraska",DAVID FRANKLIN,31,4,286347,DAVID,FRANKLIN
258,support,0.837502513,5,medium,0.849667273,Left,5,"Orlando, California",RICHARD CORRIEA,25,4.9,286213,RICHARD,CORRIEA
151,engineering,0.452832173,4,medium,0.658608148,Employed,3,"Auburn, California",AMY HART,42,3.7,284720,AMY,HART
252,IT,0.919196292,5,low,0.893364991,Left,5,"Dover, Connecticut",SEBASTIAN WONG,22,4.1,278569,SEBASTIAN,WONG
